sentence,word,label
Kal mera schedule bohot tight hai,mera,URD
Kal mera schedule bohot tight hai,schedule,ENG
Kal mera schedule bohot tight hai,bohot,URD
Kal mera schedule bohot tight hai,tight,ENG
Kal mera schedule bohot tight hai,hai,URD
Main office se jaldi nikal gaya,Main,URD
Main office se jaldi nikal gaya,office,ENG
Main office se jaldi nikal gaya,se,URD
Main office se jaldi nikal gaya,jaldi,URD
Main office se jaldi nikal gaya,nikal,URD
Main office se jaldi nikal gaya,gaya,URD
Please assignment upload kar do,Please,ENG
Please assignment upload kar do,assignment,ENG
Please assignment upload kar do,upload,ENG
Please assignment upload kar do,kar,URD
Please assignment upload kar do,do,URD
Tumhara presentation really impressive tha,Tumhara,URD
Tumhara presentation really impressive tha,presentation,ENG
Tumhara presentation really impressive tha,really,ENG
Tumhara presentation really impressive tha,impressive,ENG
Tumhara presentation really impressive tha,tha,URD
Aaj bohot productive meeting hui,Aaj,URD
Aaj bohot productive meeting hui,bohot,URD
Aaj bohot productive meeting hui,productive,ENG
Aaj bohot productive meeting hui,meeting,ENG
Aaj bohot productive meeting hui,hui,URD
Main library mein assignment likh raha hoon,Main,URD
Main library mein assignment likh raha hoon,library,ENG
Main library mein assignment likh raha hoon,mein,URD
Main library mein assignment likh raha hoon,assignment,ENG
Main library mein assignment likh raha hoon,likh,URD
Main library mein assignment likh raha hoon,raha,URD
Main library mein assignment likh raha hoon,hoon,URD
Kal exam ke liye best of luck,Kal,URD
Kal exam ke liye best of luck,exam,ENG
Kal exam ke liye best of luck,ke,URD
Kal exam ke liye best of luck,liye,URD
Kal exam ke liye best of luck,best,ENG
Kal exam ke liye best of luck,of,ENG
Kal exam ke liye best of luck,luck,ENG
Yeh laptop bohot fast chal raha hai,Yeh,URD
Yeh laptop bohot fast chal raha hai,laptop,ENG
Yeh laptop bohot fast chal raha hai,bohot,URD
Yeh laptop bohot fast chal raha hai,fast,ENG
Yeh laptop bohot fast chal raha hai,chal,URD
Yeh laptop bohot fast chal raha hai,raha,URD
Yeh laptop bohot fast chal raha hai,hai,URD
Main abhi online class attend kar raha hoon,Main,URD
Main abhi online class attend kar raha hoon,abhi,URD
Main abhi online class attend kar raha hoon,online,ENG
Main abhi online class attend kar raha hoon,class,ENG
Main abhi online class attend kar raha hoon,attend,ENG
Main abhi online class attend kar raha hoon,kar,URD
Main abhi online class attend kar raha hoon,raha,URD
Main abhi online class attend kar raha hoon,hoon,URD
Tum free ho after dinner,Tum,URD
Tum free ho after dinner,free,ENG
Tum free ho after dinner,ho,URD
Tum free ho after dinner,after,ENG
Tum free ho after dinner,dinner,ENG
Kal office mein new project start hoga,Kal,URD
Kal office mein new project start hoga,office,ENG
Kal office mein new project start hoga,mein,URD
Kal office mein new project start hoga,new,ENG
Kal office mein new project start hoga,project,ENG
Kal office mein new project start hoga,start,ENG
Kal office mein new project start hoga,hoga,URD
Mera internet connection ab theek hai,Mera,URD
Mera internet connection ab theek hai,internet,ENG
Mera internet connection ab theek hai,connection,ENG
Mera internet connection ab theek hai,ab,URD
Mera internet connection ab theek hai,theek,URD
Mera internet connection ab theek hai,hai,URD
Please mujhe document email kar dena,Please,ENG
Please mujhe document email kar dena,mujhe,URD
Please mujhe document email kar dena,document,ENG
Please mujhe document email kar dena,email,ENG
Please mujhe document email kar dena,kar,URD
Please mujhe document email kar dena,dena,URD
Aaj lunch bohot delicious tha,Aaj,URD
Aaj lunch bohot delicious tha,lunch,ENG
Aaj lunch bohot delicious tha,bohot,URD
Aaj lunch bohot delicious tha,delicious,ENG
Aaj lunch bohot delicious tha,tha,URD
Main kal shopping karne jaunga,Main,URD
Main kal shopping karne jaunga,kal,URD
Main kal shopping karne jaunga,shopping,ENG
Main kal shopping karne jaunga,karne,URD
Main kal shopping karne jaunga,jaunga,URD
Tumhara phone silent par tha,Tumhara,URD
Tumhara phone silent par tha,phone,ENG
Tumhara phone silent par tha,silent,ENG
Tumhara phone silent par tha,par,URD
Tumhara phone silent par tha,tha,URD
Yeh movie dekhna totally worth it,Yeh,URD
Yeh movie dekhna totally worth it,movie,ENG
Yeh movie dekhna totally worth it,dekhna,URD
Yeh movie dekhna totally worth it,totally,ENG
Yeh movie dekhna totally worth it,worth,ENG
Yeh movie dekhna totally worth it,it,ENG
Main project complete karke submit karunga,Main,URD
Main project complete karke submit karunga,project,ENG
Main project complete karke submit karunga,complete,ENG
Main project complete karke submit karunga,karke,URD
Main project complete karke submit karunga,submit,ENG
Main project complete karke submit karunga,karunga,URD
Kal weather bohot pleasant tha,Kal,URD
Kal weather bohot pleasant tha,weather,ENG
Kal weather bohot pleasant tha,bohot,URD
Kal weather bohot pleasant tha,pleasant,ENG
Kal weather bohot pleasant tha,tha,URD
Tum online kyun nahi aaye,Tum,URD
Tum online kyun nahi aaye,online,ENG
Tum online kyun nahi aaye,kyun,URD
Tum online kyun nahi aaye,nahi,URD
Tum online kyun nahi aaye,aaye,URD
Main office ka work finish kar chuka hoon,Main,URD
Main office ka work finish kar chuka hoon,office,ENG
Main office ka work finish kar chuka hoon,ka,URD
Main office ka work finish kar chuka hoon,work,ENG
Main office ka work finish kar chuka hoon,finish,ENG
Main office ka work finish kar chuka hoon,kar,URD
Main office ka work finish kar chuka hoon,chuka,URD
Main office ka work finish kar chuka hoon,hoon,URD
Aaj lecture ka topic bohot interesting tha,Aaj,URD
Aaj lecture ka topic bohot interesting tha,lecture,ENG
Aaj lecture ka topic bohot interesting tha,ka,URD
Aaj lecture ka topic bohot interesting tha,topic,ENG
Aaj lecture ka topic bohot interesting tha,bohot,URD
Aaj lecture ka topic bohot interesting tha,interesting,ENG
Aaj lecture ka topic bohot interesting tha,tha,URD
Please camera off kar do,Please,ENG
Please camera off kar do,camera,ENG
Please camera off kar do,off,ENG
Please camera off kar do,kar,URD
Please camera off kar do,do,URD
Main ghar pohanch ke call karunga,Main,URD
Main ghar pohanch ke call karunga,ghar,URD
Main ghar pohanch ke call karunga,pohanch,URD
Main ghar pohanch ke call karunga,ke,URD
Main ghar pohanch ke call karunga,call,ENG
Main ghar pohanch ke call karunga,karunga,URD
Tumhara assignment almost complete hai,Tumhara,URD
Tumhara assignment almost complete hai,assignment,ENG
Tumhara assignment almost complete hai,almost,ENG
Tumhara assignment almost complete hai,complete,ENG
Tumhara assignment almost complete hai,hai,URD
Kal seminar bohot informative tha,Kal,URD
Kal seminar bohot informative tha,seminar,ENG
Kal seminar bohot informative tha,bohot,URD
Kal seminar bohot informative tha,informative,ENG
Kal seminar bohot informative tha,tha,URD
Main abhi breakfast kar raha hoon,Main,URD
Main abhi breakfast kar raha hoon,abhi,URD
Main abhi breakfast kar raha hoon,breakfast,ENG
Main abhi breakfast kar raha hoon,kar,URD
Main abhi breakfast kar raha hoon,raha,URD
Main abhi breakfast kar raha hoon,hoon,URD
Yeh application bohot useful hai,Yeh,URD
Yeh application bohot useful hai,application,ENG
Yeh application bohot useful hai,bohot,URD
Yeh application bohot useful hai,useful,ENG
Yeh application bohot useful hai,hai,URD
Tum kal meeting join kar lena,Tum,URD
Tum kal meeting join kar lena,kal,URD
Tum kal meeting join kar lena,meeting,ENG
Tum kal meeting join kar lena,join,ENG
Tum kal meeting join kar lena,kar,URD
Tum kal meeting join kar lena,lena,URD
Aaj mera kaam finally complete ho gaya,Aaj,URD
Aaj mera kaam finally complete ho gaya,mera,URD
Aaj mera kaam finally complete ho gaya,kaam,URD
Aaj mera kaam finally complete ho gaya,finally,ENG
Aaj mera kaam finally complete ho gaya,complete,ENG
Aaj mera kaam finally complete ho gaya,ho,URD
Aaj mera kaam finally complete ho gaya,gaya,URD
Main kal office se work from home karunga,Main,URD
Main kal office se work from home karunga,kal,URD
Main kal office se work from home karunga,office,ENG
Main kal office se work from home karunga,se,URD
Main kal office se work from home karunga,work,ENG
Main kal office se work from home karunga,from,ENG
Main kal office se work from home karunga,home,ENG
Main kal office se work from home karunga,karunga,URD
